"","id","p_value","significant","significant_fdr"
"2821","AT2G39530","0.000102980612382336","TRUE","TRUE"
"2353","AT2G23470","0.00010480652633027","TRUE","TRUE"
"1360","AT1G61560","0.000104878544002772","TRUE","TRUE"
"1492","AT1G66460","0.000105683883615351","TRUE","TRUE"
"1666","AT1G72030","0.000105709557806097","TRUE","TRUE"
"5952","AT5G10946","0.000107037363467975","TRUE","TRUE"
"1042","AT1G47520","0.00011643736350452","TRUE","TRUE"
"4918","AT4G16260","0.000119254274637143","TRUE","TRUE"
"6890","AT5G51130","0.000123543297127614","TRUE","TRUE"
"1012","AT1G43190","0.00012354971411891","TRUE","TRUE"
"3608","AT3G17668","0.0001250584629785","TRUE","TRUE"
"974","AT1G34420","0.000125776177641427","TRUE","TRUE"
"5090","AT4G22130","0.000127780316844268","TRUE","TRUE"
"4535","AT4G00660","0.000130575813211974","TRUE","TRUE"
"2263","AT2G20750","0.000132858829386555","TRUE","FALSE"
"4857","AT4G14450","0.000135187528923173","TRUE","FALSE"
"3490","AT3G13980","0.00013601320366486","TRUE","FALSE"
"1292","AT1G58190","0.00014098322451429","TRUE","FALSE"
"3657","AT3G19280","0.000141027452860982","TRUE","FALSE"
"2888","AT2G41330","0.000145520401769638","TRUE","FALSE"
"5033","AT4G20070","0.000146511035448047","TRUE","FALSE"
"6409","AT5G26920","0.000147084197826945","TRUE","TRUE"
"3220","AT3G04960","0.000153583491580876","TRUE","TRUE"
"5053","AT4G20940","0.000160926456434909","TRUE","TRUE"
"5353","AT4G30610","0.000163091640885328","TRUE","TRUE"
"1562","AT1G68810","0.000163965770509762","TRUE","TRUE"
"412","AT1G14520","0.000164069294818522","TRUE","TRUE"
"918","AT1G32350","0.000164336568681222","TRUE","TRUE"
"1810","AT1G76390","0.000166790096958638","TRUE","TRUE"
"2810","AT2G39220","0.000169811055379841","TRUE","TRUE"
"5109","AT4G23020","0.000173236179070412","TRUE","TRUE"
"6900","AT5G51640","0.000177485595891116","TRUE","TRUE"
"3542","AT3G15500","0.00018241732009863","TRUE","TRUE"
"2321","AT2G22650","0.000182965992192524","TRUE","TRUE"
"7090","AT5G58090","0.000184214844509002","TRUE","TRUE"
"4650","AT4G04510","0.000184610209386184","TRUE","TRUE"
"1354","AT1G61310","0.000187300209759106","TRUE","TRUE"
"1135","AT1G51800","0.000195619408485889","TRUE","TRUE"
"5793","AT5G04860","0.000198111896475412","TRUE","TRUE"
"5617","AT4G38400","0.000199434274429217","TRUE","TRUE"
"5428","AT4G32980","0.000221178953976512","TRUE","TRUE"
"5380","AT4G31480","0.00022213279355683","TRUE","TRUE"
"5777","AT5G04240","0.000224239831186841","TRUE","TRUE"
"2547","AT2G30750","0.000224296629421695","TRUE","TRUE"
"4147","AT3G51470","0.000235404987673056","TRUE","TRUE"
"6174","AT5G18150","0.000238959435967785","TRUE","TRUE"
"5691","AT5G01470","0.000238971283055268","TRUE","TRUE"
"1170","AT1G53090","0.000240015893191181","TRUE","TRUE"
"5511","AT4G35165","0.000244254753427171","TRUE","TRUE"
"4240","AT3G54150","0.0002526949849744","TRUE","TRUE"
"49","AT1G02335","0.000261280256107077","TRUE","TRUE"
"6748","AT5G45770","0.000262822404686677","TRUE","TRUE"
"3492","AT3G14000","0.000271131408609657","TRUE","TRUE"
"4089","AT3G49210","0.000274459991895368","TRUE","TRUE"
"6312","AT5G23330","0.000276774542426678","TRUE","TRUE"
"5557","AT4G36660","0.000278292147842528","TRUE","TRUE"
"5079","AT4G21830","0.000285233699922912","TRUE","TRUE"
"5662","AT4G39830","0.000289826026145938","TRUE","TRUE"
"1151","AT1G52310","0.000293489731763768","TRUE","TRUE"
"3935","AT3G31356","0.000296936068567923","TRUE","TRUE"
"792","AT1G28260","0.000303229346382901","TRUE","TRUE"
"2141","AT2G15890","0.000307380569416842","TRUE","TRUE"
"7073","AT5G57510","0.000315974463038563","TRUE","TRUE"
"6652","AT5G42910","0.000320570037628524","TRUE","TRUE"
"1303","AT1G59590","0.000328477272044125","TRUE","TRUE"
"3773","AT3G23550","0.000334983997382011","TRUE","TRUE"
"7339","AT5G66630","0.000339760684172236","TRUE","TRUE"
"6616","AT5G42010","0.00034292537016166","TRUE","TRUE"
"493","AT1G16800","0.000349991115779258","TRUE","TRUE"
"7031","AT5G55930","0.00035263059096107","TRUE","TRUE"
"1032","AT1G45545","0.000356674406408005","TRUE","TRUE"
"1657","AT1G71720","0.000369964852048368","TRUE","TRUE"
"1373","AT1G62030","0.000371102450977877","TRUE","TRUE"
"6691","AT5G44040","0.000387185001701451","TRUE","TRUE"
"3768","AT3G23340","0.000388222978602882","TRUE","TRUE"
"2458","AT2G27660","0.000388497040007103","TRUE","TRUE"
"2881","AT2G41110","0.000390195241329206","TRUE","TRUE"
"6005","AT5G12930","0.000391359450111028","TRUE","TRUE"
"4364","AT3G57760","0.000395736224801334","TRUE","TRUE"
"2414","AT2G26330","0.00040058106829726","TRUE","TRUE"
"1424","AT1G64270","0.000416190689651319","TRUE","TRUE"
"946","AT1G33170","0.000417922521317192","TRUE","TRUE"
"1684","AT1G72610","0.000418899054756838","TRUE","TRUE"
"6768","AT5G46600","0.000435628954295664","TRUE","TRUE"
"7078","AT5G57785","0.000435822415921078","TRUE","TRUE"
"3272","AT3G06770","0.000436873011955527","TRUE","TRUE"
"1520","AT1G67520","0.000447661987974421","TRUE","TRUE"
"6799","AT5G47740","0.000453212573103127","TRUE","TRUE"
"5325","AT4G29890","0.000455056000072262","TRUE","TRUE"
"1617","AT1G70505","0.000457732892484188","TRUE","TRUE"
"381","AT1G13650","0.000463550790855068","TRUE","TRUE"
"6876","AT5G50740","0.000465857587946557","TRUE","TRUE"
"336","AT1G12050","0.000480478246420139","TRUE","TRUE"
"6885","AT5G51050","0.000483732841045482","TRUE","TRUE"
"5860","AT5G07360","0.000511655449654035","TRUE","TRUE"
"2971","AT2G43590","0.000527338001371163","TRUE","TRUE"
"1152","AT1G52340","0.000538521295498231","TRUE","TRUE"
"886","AT1G31150","0.000539122757653548","TRUE","TRUE"
"1703","AT1G73170","0.000566034904074801","TRUE","TRUE"
"6770","AT5G46690","0.000591376435270151","TRUE","TRUE"
"5014","AT4G19460","0.000594919562869996","TRUE","TRUE"
"6094","AT5G15740","0.000606627004036007","TRUE","TRUE"
"324","AT1G11545","0.000609188293154345","TRUE","TRUE"
"3134","AT3G02030","0.000618434178561135","TRUE","TRUE"
"2852","AT2G40200","0.0006214547936878","TRUE","TRUE"
"3222","AT3G05030","0.000628797851690281","TRUE","TRUE"
"6109","AT5G16170","0.000637258542059277","TRUE","TRUE"
"6760","AT5G46230","0.000639265566486377","TRUE","TRUE"
"5526","AT4G35550","0.000665391286042195","TRUE","TRUE"
"5212","AT4G25845","0.000666695692162024","TRUE","TRUE"
"3067","AT2G46820","0.000668964234305641","TRUE","TRUE"
"4574","AT4G01750","0.000687169537073987","TRUE","TRUE"
"3146","AT3G02210","0.000700546283535364","TRUE","TRUE"
"3917","AT3G29034","0.00070092223307635","TRUE","TRUE"
"1949","AT1G80840","0.000706918972500656","TRUE","TRUE"
"6708","AT5G44420","0.000711288780445565","TRUE","TRUE"
"6541","AT5G39080","0.000713121284974979","TRUE","TRUE"
"613","AT1G20890","0.000715385873612631","TRUE","TRUE"
"2606","AT2G32660","0.000719383683845248","TRUE","TRUE"
"5693","AT5G01520","0.000731218705247257","TRUE","TRUE"
"4450","AT3G61390","0.000738568152318596","TRUE","TRUE"
"2854","AT2G40435","0.00074435771849962","TRUE","TRUE"
"1735","AT1G74070","0.000774326100431913","TRUE","TRUE"
"6265","AT5G21100","0.000778818629090158","TRUE","TRUE"
"3888","AT3G27750","0.000785973950182339","TRUE","TRUE"
"5807","AT5G05320","0.00078861651746916","TRUE","TRUE"
"5465","AT4G34060","0.000797674350376364","TRUE","TRUE"
"1570","AT1G69050","0.000800119236953468","TRUE","TRUE"
"3779","AT3G23805","0.00080112534328099","TRUE","TRUE"
"2718","AT2G36400","0.00080270218384348","TRUE","TRUE"
"5548","AT4G36430","0.000806233883857871","TRUE","TRUE"
"5315","AT4G29400","0.000810525468689664","TRUE","TRUE"
"7068","AT5G57220","0.000811545710735033","TRUE","TRUE"
"1161","AT1G52760","0.000812107150568741","TRUE","TRUE"
"2539","AT2G30490","0.000818238215005838","TRUE","TRUE"
"1280","AT1G56720","0.000828301539188104","TRUE","TRUE"
"2755","AT2G37760","0.000839635218613153","TRUE","TRUE"
