"","id","p_value","significant","significant_fdr"
"4108","AT2G08986","0.99999999999996","FALSE","TRUE"
"2565","AT1G57680","0.999999999999965","FALSE","TRUE"
"346","AT1G06650","0.999999999999966","FALSE","TRUE"
"5180","AT2G33450","0.999999999999966","FALSE","TRUE"
"630","AT1G10890","0.999999999999969","FALSE","TRUE"
"5255","AT2G34810","0.999999999999969","FALSE","TRUE"
"7057","AT3G15840","0.99999999999997","FALSE","TRUE"
"1782","AT1G32070","0.999999999999971","FALSE","TRUE"
"12665","AT5G25752","0.999999999999971","FALSE","TRUE"
"3397","AT1G74050","0.999999999999973","FALSE","TRUE"
"14638","AT5G67480","0.999999999999974","FALSE","TRUE"
"12971","AT5G39590","0.999999999999975","FALSE","TRUE"
"2668","AT1G60940","0.999999999999976","FALSE","TRUE"
"10016","AT4G19840","0.999999999999976","FALSE","TRUE"
"14118","AT5G59320","0.999999999999976","FALSE","TRUE"
"6417","AT3G05880","0.999999999999978","FALSE","TRUE"
"9044","AT4G00355","0.999999999999978","FALSE","TRUE"
"891","AT1G15340","0.999999999999979","FALSE","TRUE"
"2279","AT1G51805","0.999999999999979","FALSE","TRUE"
"7104","AT3G16520","0.999999999999979","FALSE","TRUE"
"8919","AT3G61960","0.999999999999979","FALSE","TRUE"
"3635","AT1G78020","0.99999999999998","FALSE","TRUE"
"3991","AT2G04520","0.99999999999998","FALSE","TRUE"
"5329","AT2G36120","0.99999999999998","FALSE","TRUE"
"8462","AT3G54140","0.99999999999998","FALSE","TRUE"
"11241","AT4G40040","0.99999999999998","FALSE","TRUE"
"1257","AT1G21720","0.999999999999981","FALSE","TRUE"
"10794","AT4G33090","0.999999999999981","FALSE","TRUE"
"11463","AT5G04750","0.999999999999981","FALSE","TRUE"
"11699","AT5G08530","0.999999999999981","FALSE","FALSE"
"12730","AT5G27350","0.999999999999981","FALSE","FALSE"
"14311","AT5G62740","0.999999999999981","FALSE","FALSE"
"1394","AT1G24190","0.999999999999982","FALSE","FALSE"
"1678","AT1G30200","0.999999999999982","FALSE","FALSE"
"3815","AT1G80930","0.999999999999982","FALSE","FALSE"
"7696","AT3G26650","0.999999999999982","FALSE","FALSE"
"9186","AT4G02500","0.999999999999982","FALSE","FALSE"
"12928","AT5G38480","0.999999999999982","FALSE","FALSE"
"2867","AT1G64770","0.999999999999983","FALSE","FALSE"
"6589","AT3G08610","0.999999999999983","FALSE","FALSE"
"7520","AT3G23490","0.999999999999983","FALSE","FALSE"
"8067","AT3G47470","0.999999999999983","FALSE","FALSE"
"8740","AT3G58750","0.999999999999983","FALSE","FALSE"
"9293","AT4G04770","0.999999999999983","FALSE","FALSE"
"9679","AT4G14430","0.999999999999983","FALSE","FALSE"
