"","id","p_value","significant","significant_fdr"
"709","AT2G39420","0.000344193041825466","TRUE","TRUE"
"479","AT1G78450","0.00045314801190833","TRUE","TRUE"
"114","AT1G15820","0.000932998098112215","TRUE","TRUE"
"902","AT3G18710","0.00108979339047728","TRUE","FALSE"
"1531","AT5G15030","0.00120569600946873","TRUE","FALSE"
"556","AT2G19490","0.00125071455175053","TRUE","FALSE"
"1030","AT3G51080","0.00140437106575766","TRUE","FALSE"
"1370","AT4G34660","0.00140593807314342","TRUE","FALSE"
"353","AT1G64200","0.00141885022480742","TRUE","FALSE"
"1158","AT4G04350","0.00153582866290578","TRUE","FALSE"
"967","AT3G42433","0.00168458304224482","TRUE","FALSE"
"368","AT1G65690","0.00169405893467689","TRUE","FALSE"
"428","AT1G72890","0.00169713922765878","TRUE","FALSE"
"961","AT3G29030","0.0017793119326219","TRUE","FALSE"
"1716","AT5G48540","0.00190435495532763","TRUE","FALSE"
"1423","AT5G01460","0.00191434688618564","TRUE","FALSE"
"1749","AT5G54660","0.00205916838627169","TRUE","FALSE"
"484","AT1G78920","0.00220957267816169","TRUE","FALSE"
"631","AT2G30395","0.00224929078105203","TRUE","FALSE"
"142","AT1G19450","0.00238829494594289","TRUE","FALSE"
"1123","AT3G63010","0.00251296824171836","TRUE","FALSE"
"1451","AT5G04980","0.00262606425776655","TRUE","FALSE"
"1742","AT5G53110","0.00278605998481015","TRUE","FALSE"
"1739","AT5G52870","0.00337620140231271","TRUE","FALSE"
"30","AT1G05070","0.00400977693619039","TRUE","FALSE"
"1312","AT4G27430","0.00412621658019654","TRUE","FALSE"
"1288","AT4G24380","0.00432768319681901","TRUE","FALSE"
"1569","AT5G20020","0.00454156367073221","TRUE","FALSE"
"217","AT1G30720","0.0050306184203207","TRUE","FALSE"
"1133","AT4G00650","0.0058561063165247","TRUE","FALSE"
"1104","AT3G59700","0.00586336584607707","TRUE","FALSE"
"1811","AT5G62810","0.00590636478771862","TRUE","FALSE"
"1261","AT4G21410","0.00596659102239673","TRUE","FALSE"
"1809","AT5G62480","0.0061489939189753","TRUE","FALSE"
"602","AT2G26330","0.00618939560521716","TRUE","FALSE"
"1734","AT5G52190","0.00650918465271549","TRUE","FALSE"
"813","AT3G07460","0.00657480254303579","TRUE","FALSE"
"400","AT1G69070","0.00680425416241847","TRUE","FALSE"
"989","AT3G46110","0.00680486692063903","TRUE","FALSE"
"492","AT1G79640","0.00680521717115923","TRUE","FALSE"
"66","AT1G11580","0.00712347687072726","TRUE","FALSE"
"929","AT3G22790","0.00712383601723407","TRUE","FALSE"
"1076","AT3G55240","0.00714991016755331","TRUE","FALSE"
"1012","AT3G49120","0.00722397962990062","TRUE","FALSE"
"1664","AT5G42870","0.00746544264809925","TRUE","FALSE"
"1694","AT5G45930","0.00779903595496907","TRUE","FALSE"
"1748","AT5G54310","0.00790661981070525","TRUE","FALSE"
"1572","AT5G20935","0.00790668524440986","TRUE","FALSE"
"847","AT3G12587","0.00790688708909556","TRUE","FALSE"
"1028","AT3G50920","0.00794978511177696","TRUE","FALSE"
"392","AT1G68585","0.00822747105469391","TRUE","FALSE"
"47","AT1G08090","0.00831947972377646","TRUE","FALSE"
"1441","AT5G03370","0.0087408878847828","TRUE","FALSE"
"1018","AT3G49930","0.0087637551364239","TRUE","FALSE"
"1275","AT4G23220","0.00922393074686257","TRUE","FALSE"
"199","AT1G28280","0.00928381898543051","TRUE","FALSE"
"1510","AT5G13200","0.00969473382069348","TRUE","FALSE"
"1479","AT5G09660","0.00969550214149374","TRUE","FALSE"
"785","AT3G02468","0.0100877019146923","TRUE","FALSE"
"380","AT1G66920","0.010088006930462","TRUE","FALSE"
