"","X","id","p_value","significant","significant_fdr"
"1505",1505,"AT1G22900",1.66362179439734e-126,FALSE,FALSE
"11328",11328,"AT4G20860",7.96212547961059e-126,FALSE,FALSE
"13665",13665,"AT5G16030",3.82533095821373e-96,FALSE,FALSE
"14946",14946,"AT5G44380",1.21639196059063e-89,FALSE,FALSE
"10774",10774,"AT4G12500",4.57334282013851e-87,FALSE,FALSE
"15207",15207,"AT5G48430",8.94655421193897e-70,FALSE,FALSE
"10773",10773,"AT4G12490",3.45830767815061e-69,FALSE,FALSE
"1857",1857,"AT1G29660",2.38987580652441e-52,FALSE,FALSE
"16247",16247,"AT5G64120",5.37253095600878e-50,FALSE,FALSE
"1936",1936,"AT1G30700",9.8417918505365e-48,FALSE,FALSE
"3668",3668,"AT1G71697",1.40423096129224e-47,FALSE,FALSE
"3269",3269,"AT1G65390",3.50957295085572e-43,FALSE,FALSE
"5662",5662,"AT2G30750",4.38592714150474e-39,FALSE,FALSE
"16091",16091,"AT5G61890",9.25791903050709e-39,FALSE,FALSE
"8307",8307,"AT3G20820",1.40845454609381e-37,FALSE,FALSE
"6264",6264,"AT2G39530",6.39335515555124e-36,FALSE,FALSE
"11232",11232,"AT4G18950",1.31234954758613e-35,FALSE,FALSE
"7935",7935,"AT3G15570",2.93736855227804e-34,FALSE,FALSE
"2564",2564,"AT1G51820",8.94009711312386e-31,FALSE,FALSE
"14879",14879,"AT5G43450",6.21099159871048e-30,FALSE,FALSE
"1939",1939,"AT1G30755",1.21634907361622e-28,FALSE,FALSE
"11595",11595,"AT4G24750",2.533762185903e-28,FALSE,FALSE
"12523",12523,"AT4G37925",1.03818172223985e-27,FALSE,FALSE
"2199",2199,"AT1G36622",1.04995607251699e-27,FALSE,FALSE
"4945",4945,"AT2G19190",1.56243267557101e-27,FALSE,FALSE
"4863",4863,"AT2G17740",2.59589558857651e-27,FALSE,FALSE
"8803",8803,"AT3G29034",4.22462993303568e-27,FALSE,FALSE
"3722",3722,"AT1G72430",5.5032722723477e-27,FALSE,FALSE
"11183",11183,"AT4G18170",7.00453179259646e-27,FALSE,FALSE
"5180",5180,"AT2G22990",1.13418618485996e-26,FALSE,FALSE
"4915",4915,"AT2G18690",1.33492469841232e-26,FALSE,FALSE
"2735",2735,"AT1G54500",1.37012930842888e-26,FALSE,FALSE
"11358",11358,"AT4G21390",2.198508441371e-26,FALSE,FALSE
"1197",1197,"AT1G18300",2.23754070471005e-26,FALSE,FALSE
"15478",15478,"AT5G52830",3.40180019781078e-26,FALSE,FALSE
"9023",9023,"AT3G46280",4.67642149525138e-26,FALSE,FALSE
"3295",3295,"AT1G65845",1.17556894941853e-25,FALSE,FALSE
"9443",9443,"AT3G52840",1.93200534275445e-25,FALSE,FALSE
"9345",9345,"AT3G51510",6.00281213772677e-25,FALSE,FALSE
"5557",5557,"AT2G29180",2.08245561132846e-24,FALSE,FALSE
"3237",3237,"AT1G64860",3.06482729888443e-24,FALSE,FALSE
"13696",13696,"AT5G16400",3.22680390586292e-24,FALSE,FALSE
"13649",13649,"AT5G15780",3.32016372762334e-24,FALSE,FALSE
"1625",1625,"AT1G25400",6.44751212972698e-24,FALSE,FALSE
"6219",6219,"AT2G38940",1.32424154882495e-23,FALSE,FALSE
