"","X","id","p_value","significant","significant_fdr"
"134",134,"AT1G02920",0,TRUE,FALSE
"8719",8719,"AT3G27690",0,TRUE,FALSE
"9181",9181,"AT3G49120",0,TRUE,FALSE
"11078",11078,"AT4G16980",0,TRUE,FALSE
"11309",11309,"AT4G20830",0,TRUE,FALSE
"11312",11312,"AT4G20860",0,TRUE,FALSE
"15548",15548,"AT5G54160",0,TRUE,FALSE
"2557",2557,"AT1G51800",9.15776021326716e-279,TRUE,FALSE
"11464",11464,"AT4G23210",1.93186804903268e-253,TRUE,FALSE
"11757",11757,"AT4G27440",1.09433979245515e-244,TRUE,FALSE
"378",378,"AT1G06620",1.02605574247114e-232,TRUE,FALSE
"10574",10574,"AT4G08850",3.90063138136401e-224,TRUE,FALSE
"10760",10760,"AT4G12500",4.5081684855815e-213,TRUE,FALSE
"9318",9318,"AT3G51330",7.52115691245538e-201,TRUE,FALSE
"4938",4938,"AT2G19190",1.12110475172066e-200,TRUE,FALSE
"14692",14692,"AT5G40780",5.4393093762144e-190,TRUE,FALSE
"11481",11481,"AT4G23470",2.09667885275003e-166,TRUE,FALSE
"15672",15672,"AT5G55930",1.7144166224034e-162,TRUE,FALSE
"2229",2229,"AT1G43160",1.43801226645507e-160,TRUE,FALSE
"16229",16229,"AT5G64120",5.52987703430753e-158,TRUE,FALSE
"8167",8167,"AT3G19010",2.61959243315187e-156,TRUE,FALSE
"4574",4574,"AT2G06050",4.84765324757205e-153,TRUE,FALSE
"8636",8636,"AT3G26500",1.30934889786813e-149,TRUE,FALSE
"6007",6007,"AT2G35980",4.00138770800413e-144,TRUE,FALSE
"10758",10758,"AT4G12480",1.03557492475932e-143,TRUE,FALSE
"5434",5434,"AT2G27385",1.66966365407712e-142,TRUE,FALSE
"135",135,"AT1G02930",4.39101212254716e-139,TRUE,FALSE
"10759",10759,"AT4G12490",6.23882911103745e-137,TRUE,FALSE
"6256",6256,"AT2G39530",4.03026772592333e-133,TRUE,FALSE
"8319",8319,"AT3G21230",6.84828390442184e-124,TRUE,FALSE
"8948",8948,"AT3G44860",2.6756779055291e-120,TRUE,FALSE
"13478",13478,"AT5G13420",6.01822365420079e-120,TRUE,FALSE
"2781",2781,"AT1G55450",6.30027772161469e-118,TRUE,FALSE
"16074",16074,"AT5G61890",6.59120484472025e-117,TRUE,FALSE
"1932",1932,"AT1G30700",1.13152678464624e-116,TRUE,FALSE
"11441",11441,"AT4G22890",2.46661784954794e-115,TRUE,FALSE
"8641",8641,"AT3G26570",1.69891124470545e-107,TRUE,FALSE
"2559",2559,"AT1G51820",7.26799792968278e-103,TRUE,FALSE
"606",606,"AT1G09750",3.08113965005045e-102,TRUE,FALSE
"14607",14607,"AT5G39050",6.66235637376799e-102,TRUE,FALSE
"14513",14513,"AT5G36925",7.44739302970357e-101,TRUE,FALSE
"5451",5451,"AT2G27690",1.25871950569416e-98,TRUE,FALSE
"14904",14904,"AT5G44020",2.87190189306297e-98,TRUE,FALSE
"4076",4076,"AT1G77510",3.39510106031083e-98,TRUE,FALSE
"294",294,"AT1G05300",3.43775864378303e-96,TRUE,FALSE
"13648",13648,"AT5G16030",3.82486598132115e-96,TRUE,FALSE
"2556",2556,"AT1G51790",2.72820547529441e-91,TRUE,FALSE
"9660",9660,"AT3G55970",2.36416452984835e-90,TRUE,FALSE
"1250",1250,"AT1G19180",2.80474337122258e-90,TRUE,FALSE
"8591",8591,"AT3G25780",4.51653930176547e-90,TRUE,FALSE
"14929",14929,"AT5G44380",1.21544614788867e-89,TRUE,FALSE
"3010",3010,"AT1G61120",1.29437942061687e-88,TRUE,FALSE
"15842",15842,"AT5G58330",1.33270025844493e-88,TRUE,FALSE
"3944",3944,"AT1G75690",5.22683059659319e-88,TRUE,FALSE
"1135",1135,"AT1G17380",3.77727749025812e-87,TRUE,FALSE
"2944",2944,"AT1G59870",8.20701300942256e-86,TRUE,FALSE
"2562",2562,"AT1G51890",3.62062587921222e-85,TRUE,FALSE
"5378",5378,"AT2G26560",4.24896343167924e-85,TRUE,FALSE
"4635",4635,"AT2G08986",6.08276345536217e-85,TRUE,FALSE
"5173",5173,"AT2G22990",5.46515058067216e-82,TRUE,FALSE
"12154",12154,"AT4G33050",7.32925010516434e-82,TRUE,FALSE
"16031",16031,"AT5G61210",5.27044191155932e-81,TRUE,FALSE
"4908",4908,"AT2G18690",1.63486502877896e-79,TRUE,FALSE
"7805",7805,"AT3G14050",1.736085002332e-78,TRUE,FALSE
"1415",1415,"AT1G21670",5.08369808578439e-78,TRUE,FALSE
"9586",9586,"AT3G54960",1.7687330694795e-77,TRUE,FALSE
"12239",12239,"AT4G34200",4.00090549541953e-77,TRUE,FALSE
"12305",12305,"AT4G35100",1.85783721480225e-76,TRUE,FALSE
"1934",1934,"AT1G30730",3.13391868876747e-75,TRUE,FALSE
"8369",8369,"AT3G22160",1.41875864411044e-74,TRUE,FALSE
"10876",10876,"AT4G14365",6.30587378882728e-74,TRUE,FALSE
"6561",6561,"AT2G43620",8.62981328251369e-74,TRUE,FALSE
"3177",3177,"AT1G64170",1.68154784780208e-73,TRUE,FALSE
"7786",7786,"AT3G13790",1.91890152154348e-72,TRUE,FALSE
"10326",10326,"AT4G02380",5.37785670727182e-72,TRUE,FALSE
"5189",5189,"AT2G23320",1.10687640956255e-71,TRUE,FALSE
"7579",7579,"AT3G10985",1.54678773974482e-71,TRUE,FALSE
