"","X","id","p_value","significant","significant_fdr"
"1",899,"AT3G18250",0.000124466335456742,TRUE,TRUE
"2",1628,"AT5G35735",0.000134551333494277,TRUE,FALSE
"3",1750,"AT5G54160",0.000187871761275163,TRUE,FALSE
"4",991,"AT3G46280",0.000283569987925427,TRUE,FALSE
"5",199,"AT1G28230",0.000311403296409734,TRUE,FALSE
"6",975,"AT3G44370",0.000387703896711007,TRUE,FALSE
"7",180,"AT1G23850",0.000522393767282144,TRUE,FALSE
"8",176,"AT1G23180",0.000532742446604955,TRUE,FALSE
"9",52,"AT1G09080",0.000544100580125158,TRUE,FALSE
"10",841,"AT3G11340",0.000588105320094121,TRUE,FALSE
"11",1143,"AT4G01850",0.000602615966317527,TRUE,FALSE
"12",1098,"AT3G58120",0.000616613025228881,TRUE,FALSE
"13",1348,"AT4G31290",0.000981435335798132,TRUE,FALSE
"14",680,"AT2G35410",0.00101903927682635,TRUE,FALSE
"15",1023,"AT3G50480",0.00102006750206984,TRUE,FALSE
"16",1493,"AT5G11340",0.00121045753486495,TRUE,FALSE
"17",430,"AT1G73060",0.00132462372475255,TRUE,FALSE
"18",1422,"AT5G01220",0.00151021330788054,TRUE,FALSE
"19",851,"AT3G12930",0.00171235338207038,TRUE,FALSE
"20",191,"AT1G26420",0.00198341795660099,TRUE,FALSE
"21",86,"AT1G13480",0.00205965944032825,TRUE,FALSE
"22",323,"AT1G59710",0.00218008286634875,TRUE,FALSE
"23",297,"AT1G53240",0.00262476202592586,TRUE,FALSE
"24",1254,"AT4G20830",0.00281168890995878,TRUE,FALSE
"25",1391,"AT4G36670",0.00303799270592891,TRUE,FALSE
"26",754,"AT2G44790",0.00319989957358803,TRUE,FALSE
"27",1262,"AT4G21410",0.00319989957358804,TRUE,FALSE
"28",1166,"AT4G08500",0.00333416883569142,TRUE,FALSE
"29",1759,"AT5G55950",0.00346091741366732,TRUE,FALSE
"30",1346,"AT4G30950",0.00373309035659029,TRUE,FALSE
"31",639,"AT2G30750",0.00392774276930804,TRUE,FALSE
"32",1312,"AT4G26970",0.00398598633858769,TRUE,FALSE
"33",1685,"AT5G44585",0.00406471996703448,TRUE,FALSE
"34",746,"AT2G44370",0.00410671826039183,TRUE,FALSE
"35",1719,"AT5G48430",0.00417434784070304,TRUE,FALSE
"36",1836,"AT5G64905",0.00420011115313228,TRUE,FALSE
"37",222,"AT1G30900",0.00426831350854117,TRUE,FALSE
"38",229,"AT1G32060",0.00442237177240535,TRUE,FALSE
"39",1622,"AT5G31702",0.00442320260634736,TRUE,FALSE
"40",62,"AT1G10700",0.00478748947611492,TRUE,FALSE
"41",1525,"AT5G14060",0.0049045482557939,TRUE,FALSE
"42",1731,"AT5G51070",0.00524746481619729,TRUE,FALSE
"43",182,"AT1G24140",0.00556213076651409,TRUE,FALSE
"44",1811,"AT5G62370",0.00556235111916759,TRUE,FALSE
"45",1499,"AT5G12040",0.00559459618737429,TRUE,FALSE
"46",1102,"AT3G59220",0.00631678218396344,TRUE,FALSE
"47",218,"AT1G30720",0.00671488947640454,TRUE,FALSE
"48",454,"AT1G76050",0.00680487913898788,TRUE,FALSE
"49",1128,"AT3G63190",0.00680792424821073,TRUE,FALSE
"50",1575,"AT5G21920",0.00702280789204331,TRUE,FALSE
"51",987,"AT3G45640",0.00718291553194219,TRUE,FALSE
"52",41,"AT1G07160",0.00763533375148989,TRUE,FALSE
"53",231,"AT1G32120",0.00780125542636043,TRUE,FALSE
"54",423,"AT1G71730",0.00790668524227693,TRUE,FALSE
