"","file_type","number_of_sim_data","significant","non_significant","fdr_significant","fdr_non_significant"
"1","nonsig",10,"0","14655",29,"14626"
"2","sig",10,"323","1529",25,"1827"
"3","nonsig",3,"0","14618",29,"14589"
"4","sig",3,"230","1621",3,"1848"
"5","nonsig",4,"0","14651",29,"14622"
"6","sig",4,"214","1637",3,"1848"
"7","nonsig",5,"0","14655",29,"14626"
"8","sig",5,"252","1600",3,"1849"
"9","nonsig",6,"0","14655",29,"14626"
"10","sig",6,"277","1575",3,"1849"
"11","nonsig",7,"0","14655",29,"14626"
"12","sig",7,"307","1545",3,"1849"
"13","nonsig",8,"0","14655",29,"14626"
"14","sig",8,"298","1554",3,"1849"
"15","nonsig",9,"0","14655",29,"14626"
"16","sig",9,"317","1535",3,"1849"
